element_id,rdoc_label,mapping_quality_tier,mapping_quality_score,expanded_name,allen_region_name,allen_acronym,allen_structure_id,match_quality,is_network,flag_poor_map,notes
150934,Amygdala,High,35,Amygdala,amygdaloid complex,AMY,10361,exact,no,no,Amygdaloid complex.
150865,Bed nucleus of stria terminalis,High,35,Bed nucleus of the stria terminalis (BNST),bed nucleus of stria terminalis,BNST,10384,exact,no,no,BNST.
149931,Central gray substance of midbrain,High,35,Periaqueductal gray (PAG),periaqueductal gray substance,PAG,12209,exact,no,no,PAG=periaqueductal/central gray of midbrain.
157907,Cerebellum,High,35,Cerebellum,cerebellum,CB,10656,exact,no,no,Direct match
158092,Corpus Callosum,High,35,Corpus callosum,corpus callosum,cc,10561,exact,no,no,Direct match (white-matter commissure)
149919,Dorsomedial periaqueductal gray,High,35,Dorsomedial periaqueductal gray (dPAG),"periaqueductal gray substance,dorsomedial division",PAGdm,12211,exact,no,no,dPAG=dorsal/dorsomedial PAG.
150928,Hippocampus,High,35,Hippocampus,hippocampal gyrus (formation),HiF,12170,exact,no,no,Hippocampal formation.
151888,Inferior colliculus,High,35,Inferior colliculus (IC),inferior colliculus,IC,12305,exact,no,no,Direct match
158086,Inferior Frontal Gyrus,High,35,Inferior frontal gyrus (IFG),inferior frontal gyrus,IFG,12117,exact,no,no,Direct match
150986,Inferior Parietal Cortex,High,35,Inferior parietal cortex,inferior parietal lobule,IPL,12134,exact,no,no,Inferior parietal lobule.
149917,Lateral amygdalar nucleus,High,35,Lateral amygdala (LatAmyg),lateral nucleus,La,10367,exact,no,no,LatAmyg=lateral nucleus of amygdala.
150947,Lateral habenula,High,35,Lateral habenula,lateral habenular nucleus,LHN,10453,exact,no,no,Lateral habenular nucleus.
149936,Locus ceruleus,High,35,Locus coeruleus (LC),locus coeruleus,LC,12819,exact,no,no,LC=locus coeruleus.
149930,Medial amygdala,High,35,Medial amygdala,medial nucleus,Me,10376,exact,no,no,Medial nucleus of amygdala.
151002,Medial dorsal nucleus,High,35,Mediodorsal nucleus of thalamus (MD),mediodorsal nucleus of thalamus,MD,10398,exact,no,no,MD thalamus.
150976,Medial geniculate body,High,35,Medial geniculate body (MGN),medial geniculate nuclei,MG,10434,exact,no,no,MGN=medial geniculate.
150951,Nucleus accumbens,High,35,Nucleus accumbens (NAcc),nucleus accumbens,NAC,10339,exact,no,no,NAcc.
149925,Orbitofrontal cortex,High,35,Orbitofrontal cortex (OFC),orbital frontal cortex,OFC,10194,exact,no,no,OFC=orbitofrontal cortex.
150927,Paraventricular nucleus of the hypothalamus,High,35,Paraventricular nucleus of the hypothalamus (PVN),paraventricular nucleus of hypothalamus,PV,10476,exact,no,no,PVN=hypothalamic paraventricular nucleus.
149933,Pons,High,35,Pons,pons,Pn,10661,exact,no,no,Pons.
150991,Posterior Parietal Cortex,High,35,Posterior parietal cortex (PPC),posterior parietal cortex,PoPC,10214,exact,no,no,PPC.
151056,precuneus,High,35,Precuneus,precuneus,PrCun,12137,exact,no,no,Direct match
