monday_id,slug,name,funder_org,funder_kind,canonical_subset,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,required_slot_ids,required_sub_slot_ids,useful_slot_ids,submission_notes
11813600602,aria-uk-full-programmes,ARIA (UK) — Full Programmes,ARIA (UK),federal_OT,heavy,Grants,Late,Not Started,Government,Grants,Programmes,"AI for Science;AI Safety",2026-05-08,Recurring Annual,4,Programme-specific online form (concept paper → full proposal),grant,"concept;full",heavy,,yes,false,fEC,60,,hybrid,,5000000,50000000,false,,standard,false,"Programme-fit;Technical novelty;ARIA-style ambition;Team & consortium fit",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U15;U18;U20;A01;A02;A03;A04,U03.4;U06.5;U07.2;U08.2,U10;U13;U14;U17,ARIA programmes are mostly proactive — teams matched to a Programme Director and programme-specific call. Two-stage: concept → invited full proposal. Default to ARIA's ambitious + uneven framing.
11813600727,arpa-h-health-science-futures-iso,ARPA-H Health Science Futures (HSF) ISO,ARPA-H,federal_OT,heavy,Grants,Late,Under Consideration,Government,Grants,ISO (Innovative Solutions Opening),Healthcare,2029-03-05,Ongoing / Rolling,5,Solution Summary → written-feedback gate → Full Proposal,hybrid,"summary;full",heavy,,yes,false,OT_negotiated,60,,hybrid,arpah_mission_office.yaml,0,,false,,standard,true,"Mission relevance;Technical approach;Team capability;Cost realism",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U13;U14;U15;U16;U17;U18;U19;U20;A01;A02;A03;A04,U06.5;U07.2;U08.2;U16.7;A03.6,U10;U12;U21,Solution Summary first; ARPA-H provides written feedback before any full proposal is accepted. Phased budget. NSPM-33 disclosures required. SAM.gov registration.
11813491582,nsf-tech-labs,NSF Tech Labs,NSF,federal_OT,heavy,Grants,Late,Under Consideration,Government,Grants,Tech Labs OT,AI for Science,,Recurring Annual,5,RFI → solicited concept → full proposal,hybrid,"concept;full",heavy,,yes,false,OT_negotiated,60,,hybrid,nsf_tech_labs.yaml,10000000,50000000,false,,standard,false,"Intellectual merit;Broader impacts;Phased technical plan;Translation pathway",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U10;U11;U12;U15;U17;U18;U20;A01;A02;A03;A04,U06.5;U07.2;U07.5;U08.2;U16.7;A03.6,U13;U14;U16;U21,NSF Tech Labs structured as OT with phase-envelope budgets ($10–50M/yr × ≥4y). Broader Impacts is a separate review criterion. Translation pathway load-bearing.
11813600729,nih-bridge2ai-stage-ii,NIH Bridge2AI Initiative (Stage II),NIH,federal_grant,heavy,Grants,Late,Not Started,Government,Grants,Cooperative Agreement (UG3/UH3),AI for Science,2026-07-01,Single Deadline,5,NIH ASSIST / Grants.gov,grant,"LOI;full",heavy,,yes,false,F&A_negotiated,60,,reactive,nih_r01.yaml,0,25000000,false,,standard,false,"Significance;Investigator(s);Innovation;Approach;Environment",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U13;U14;U15;U16;U17;U20;A01;A02;A03;A04,U03.6;U08.5;U12.6;U12.7;U14.7;U16.7,U09;U10;U18;U19,Bridge2AI Stage II builds on Stage I data-generation projects. Heavy emphasis on AI-readiness and ELSI plan. UG3→UH3 phase transition criteria required.
11813600649,nsf-nih-smart-health-program,NSF-NIH Smart Health Program,NSF / NIH,federal_grant,heavy,Grants,Late,Not Started,Government,Grants,Joint NSF/NIH solicitation,AI for Science,2026-09-10,Recurring Annual,4,Research.gov / NSF FastLane,grant,"full",heavy,,yes,false,F&A_negotiated,48,NIH,reactive,,0,,false,,standard,false,"Intellectual merit;Broader impacts;Smart Health relevance",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U13;U14;U15;U16;U17;U20;A01;A02;A03;A04,U13.7;U14.7;U16.7;A04.11,U09;U10;U12;U18;U21,Joint NSF + NIH Smart Health solicitation. Mandatory publication acknowledgment template. NSF Broader Impacts review criterion.
11813600707,nsf-convergence-accelerator,NSF Convergence Accelerator,NSF,federal_grant,heavy,Grants,Late,Not Started,Government,Grants,Phase 1 / Phase 2 cooperative,Healthcare,,Recurring Annual,4,Track-aligned solicitation via Research.gov,grant,"round1;round2",heavy,,yes,false,F&A_negotiated,36,,reactive,,750000,5000000,false,,standard,false,"Convergence research;Use-inspired research;Team formation;Translation potential",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U17;U18;U20;A01;A02;A03;A04,U07.5;U08.5;U17.7;U20.6,U09;U10;U12;U13;U14;U21,Phase 1 (planning) → Phase 2 (build). Customer discovery / human-centered design plan is a hard requirement.
11813600599,convergent-research-fro,Convergent Research — FRO,Convergent Research,philanthropic_grant_proactive,heavy,Grants,Late,Under Consideration,FRO / Moonshot,Grants,FRO incubation,AI for Science,,Ongoing / Rolling,5,Idea submission via convergentresearch.org/get-involved,grant,"concept;full",heavy,,yes,false,capped_negotiated,60,,hybrid,,10000000,100000000,false,,no_confidential_ip,false,"FRO-fit;Coordination dividend;Capital-intensive necessity;Open-output commitment",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U12;U15;U17;U18;U19;U20;A01;A02;A03;A04,U06.5;U07.2;U08.2;A04.9,U10;U13;U14;U21;U22,FROs ~$50M 5y open-output capital-intensive coordination problems. Funder reaches out proactively after idea submission. Confidentiality marker for unfiled IP.
11813600650,nih-primed-ai-program,NIH PRIMED-AI Program,NIH,federal_grant,heavy,Grants,Late,Not Started,Government,Grants,Common Fund — PRIMED-AI,AI for Science,2026-02-11,Recurring Annual,5,NIH ASSIST / Grants.gov,grant,"LOI;full",heavy,,yes,false,F&A_negotiated,60,,reactive,nih_r01.yaml,0,25000000,false,,standard,false,"Significance;Investigators;Innovation;Approach;Environment",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U13;U14;U15;U16;U17;U20;A01;A02;A03;A04,U03.6;U12.6;U12.7;U14.7;U16.7;U20.1,U09;U10;U18;U19;U21,PRIMED-AI emphasizes multimodal data integration AI-readiness federated learning ELSI plan. EHR vendor partnership narrative load-bearing.
11813600588,wellcome-leap-programs,Wellcome Leap Programs,Wellcome Leap,philanthropic_grant_proactive,heavy,Grants,Late,Not Started,Philanthropic Foundation,Grants,Thrust-aligned program,"AI for Science;Healthcare;Proactive Health",2026-04-23,Recurring Annual,5,Abstract → full proposal via wellcomeleap.smapply.org,grant,"abstract;full",heavy,,yes,false,F&A_negotiated,36,,hybrid,,1000000,10000000,false,,standard,false,"Thrust-fit;Quantitative ambition;Technical approach;Open-output commitment",0,U01;U02;U03;U04;U05;U06;U07;U08;U09;U11;U12;U15;U17;U18;U20;A01;A02;A03;A04,U04.5;U07.2;U08.2;A03.6,U10;U13;U14;U22,Wellcome Leap runs DARPA-style thrust programs. Abstract → invited 25-page full proposal. Quantitative magnitude framing. MARFA/CORFA contract instruments.
11813491581,schmidt-sciences-programs,Schmidt Sciences Programs,Schmidt Sciences,private_grant,heavy,Grants,Late,Not Started,Philanthropic Foundation,Grants,"Multi-program (AI for Science;Postdocs;etc.)","AI for Science;General Tech",2026-05-17,Recurring Annual,4,Program-specific portal,grant,"LOI;full",heavy,,yes,false,capped_negotiated,36,,hybrid,,100000,5000000,false,,standard,false,"Scientific ambition;AI-for-science fit;Team;Open science",0,U01;U02;U03;U04;U05;U06;U07;U08;U11;U12;U15;U18;U20;A01;A02;A03;A04,U11.8;A03.7,U09;U10;U13;U14;U17;U21,Multi-program funder; per-program eligibility varies. Postdoc IDP and mentor/sponsor letter required for fellowship-track programs.
