Priority,Feature,Executive Function / Category,Inspired By,Validation,Codebase / Reference,Yar-only,Build Status
P1,Spiciness slider (task decomposition granularity),Task initiation,Goblin Tools,ADHD paper C3 (M=5) task-initiation paralysis,Goblin (proprietary),No,Planned
P1,Zero-friction voice capture,Task initiation / working memory,OMI AI,DI1 + P17 quote,omi/firmware + omi/app (MIT); Yar Milestone 1 voice loop,No,In progress (Milestone 1 built)
P1,Brain-dump compiler,Working memory,Goblin Tools + Letterly,Externalized cognition strategy,Letterly (proprietary),No,Planned
P1,Auto task-extraction from captures,Task initiation,Saner AI + OMI,Over-reliance concern P9,omi/backend action extraction,No,Planned
P1,Brain Weather Dashboard (cognitive-state viz),Emotional regulation / self-awareness,ADHD paper C8,M=5, 13/20 top-3 (highest rated),Novel,Yes,Planned
P1,Social Presence AI (focus companion / body-doubling),Sustained attention,ADHD paper C6,M=4.5, 12/20 top-3,Novel (Rive persona),Yes,Planned
P1,Dual-track planning (ideal vs baseline),Time management,ADHD paper C3,M=5, 10/20 top-3,Novel,Yes,Planned
P1,Emoji mood on tasks,Emotional regulation,Leantime,DI3 mood-adaptive,leantime/domain/Reactions,No,Planned
P1,Smart note types (supertags),Working memory,Tana,Typed-object routing,Tana (proprietary),No,Partial (LinkML typed objects)
P1,Live search queries,Working memory,Tana,Queries as first-class objects,Tana (proprietary),No,Planned
P2,Focus mode (full-screen single task),Sustained attention,Super Productivity,DI5 co-regulation,super-productivity/features/focus-mode,No,Planned
P2,Idle detection (graceful pause),Time management,Super Productivity,Time-perception disorders P5,super-productivity/features/idle,No,Planned
P2,Break reminders (hyperfocus),Sustained attention,Super Productivity,Hyperfocus exhaustion P13,super-productivity/features/take-a-break,No,Planned
P2,TTS with highlighting,Accessibility,Speechify,DI4 multiple engagement modes,Speechify (proprietary),No,Planned
P2,Plan my day,Time management,Saner AI,ADHD paper C2,Saner pattern,No,Planned
P2,Tone analysis,Social cognition,Goblin Tools (Judge),Social misrecognition P6/P10,Goblin,No,Planned
P2,PiP focus window,Sustained attention,Saner AI,Distraction management,Saner,No,Planned
P2,Emotionally Aware Pause Days,Emotional regulation,ADHD paper C11,M=4.5, 12/20 top-3,Novel,Yes,Planned
P2,MCP server exposure,Interop / infrastructure,OMI AI,MCP architecture pattern,omi/mcp (MIT),No,Planned
P3,Voice-first emotional awareness (vocal biomarkers),Emotional regulation,Yar-only,DI3 + C8 (prosody → mood),HuBERT / openSMILE,Yes,Research
P3,CAP safety gate,Privacy / autonomy,Yar-only,Autonomy vs guidance tension,Novel (CAP-Lite built),Yes,Built (CAP-Lite)
P3,Local-first AI brain (on-device Gemma),Privacy,Yar-only,Section 7.3 non-surveillance preference,flutter_gemma / LiteRT / Ollama,Yes,Built (Gemma E2B/E4B)
P3,Unified ND companion (task+time+knowledge+emotion+AI),All,Yar-only,The Big Gap (12-tool analysis),Novel,Yes,In progress
P3,ND-NT Communication Translation,Social cognition,Yar-only,Social misrecognition P6/P10; DI4,Novel,Yes,Planned (out of MVP scope)
P3,Progressive-disclosure cognitive dashboard,Self-awareness,Blue Lin,Lin CHI 2024 DR1-DR5,Novel,Yes,Planned
P3,Gentle streaks (no shame on skip days),Emotional regulation,ADHD paper C3,M=5; no-shame principle,Novel,Yes,Planned
Infra,WADM annotation model,Working memory / capture,W3C WADM,Highlight-annotate-link flows,Built (MVP),No,Built
Infra,LinkML to Anytype schema mapping,Knowledge graph,Anytype + LinkML,Data sovereignty,Built (local registry),No,Built (MVP)
Infra,Anytype local-first storage,Privacy / data portability,Anytype,Local-first E2E sovereignty,Anytype MCP adapter,No,In progress (MCP write + SQLite fallback)
P1,Adaptive personas (relationship type + character + per-persona voice),Companion identity / emotional regulation,ADHD paper C6/C2 + ElevenLabs Voice Design,Body-doubling C6 (M=4.5); cuts ND config tax,Novel; Voice Design to on-device TTS,Yes,Planned
P1,Cytonome Sensor Protocol (CSP) — universal sensor adapter / MCP-for-sensors,Infrastructure / platform backbone,Yar-only (MCP-analogous),Bridges Yar to Cytoverse; unifies all modalities,Reuses MCP/Anytype patterns; voice sensor = reference adapter,Yes,Planned
P2,Persona adaptive refinement (auto-tune from interaction),Companion identity,Yar-only (no-tax principle),On-device preference learning from interaction + mood,Novel,Yes,Planned
P2,CSP wearable adapter (Oura / Apple Watch / smartwatch),Sensing / infrastructure,Yar-only,Wearable biomarkers (HRV/sleep/activity) via CSP,Oura / Apple HealthKit / Google Fit,Partial,Planned
P3,Persona mood/context auto-selection,Companion identity / self-awareness,ADHD paper C2/C8,Learns which persona fits which mood/context,Novel,Yes,Planned
P3,CSP connectomic adapter (Cytoscope / fNIRS),Sensing / infrastructure,Yar-only,Future Cytognosis hardware via CSP,Cytoscope / fNIRS,Yes,Future
P1,Branching brainmap companion (voice to living thought-graph) [FLAGSHIP],Working memory / ideation / self-awareness,Yar-only + ADHD paper DI4,Affirms associative ND cognition (DI4); productized Cytonome navigator,Built on Milestone 1 voice loop + LinkML graph,Yes,Planned
P1,Turn-time attachment reasoning (placer agent),Working memory / ideation,Yar-only,Removes "where does this go?" executive-function tax,On-device agent over typed graph,Yes,Planned
P1,Force-directed brainmap visualization (D3-force),Self-awareness / ideation,Yar-only,Spatial ambient representation (DI4),D3-force view of the graph,Yes,Planned
P1,Personal-KG integration (Obsidian / LogSeq mirror),Knowledge graph,Yar-only,Thinking compounds in an owned on-device graph,Local relative links; Anytype/SQLite backend,Yes,Planned
