Column Name,Column Type,Description,Is Required,Default Value
Model Name,text,Display name of the machine learning model,true,
Model URL,link,URL to model documentation or registry page,false,
HuggingFace URL,link,URL on HuggingFace Hub if hosted there,false,
Model Family,text,Model family or architecture name,false,
ML Task,select,Primary ML task: text-generation, text-classification, image-classification, object-detection, image-segmentation, audio-classification, question-answering, summarization, translation, feature-extraction, other,false,
ML Framework,select,Framework used: PyTorch, TensorFlow, JAX, Transformers, Diffusers, ONNX, scikit-learn, spaCy, Keras, XGBoost, other,false,
Base Model,text,Base or parent model if fine-tuned,false,
Parameter Count,number,Number of model parameters,false,
Model Size (bytes),number,Model file size in bytes,false,
Precision,select,Model precision: float32, float16, bfloat16, int8, int4, mixed,false,float32
Training Datasets,link,Links to datasets used for training,false,
Evaluation Datasets,link,Links to datasets used for evaluation,false,
Benchmark Results,long_text,Summary of benchmark performance results,false,
Associated Papers,link,Links to papers related to this model,false,
Associated Code,link,Link to code repository implementing/using model,false,
Download Count,number,Number of downloads from registry,false,
Likes Count,number,Number of likes or upvotes on registry,false,
License,text,License type (e.g., CC-BY-4.0, Apache-2.0),false,
Intended Uses,long_text,Intended use cases and applications,false,
Known Limitations,long_text,Known limitations and failure modes,false,
Status,select,Status: Published, Development, Deprecated, Archived,false,Published
Contributors,text,Model developers separated by semicolon,false,
Notes,long_text,Internal notes and commentary,false,
Created Date,datetime,When record was created,false,
Updated Date,datetime,When record was last updated,false,
