domain,domain_public,cluster,feature_id,feature,status,gated,description
AEF,"Getting started, focus & time",Capture & brain dump,F01,Voice brain dump,shipped,,"Talk out everything on your mind, captured for you, no typing."
AEF,"Getting started, focus & time",Capture & brain dump,F32,Stray thought capture,shipped,,Drop a random thought or to-do somewhere safe mid-task.
AEF,"Getting started, focus & time",Capture & brain dump,F59,Capture from anywhere,groundwork,,"Save to Yar from phone, computer, or browser in one tap."
AEF,"Getting started, focus & time",Capture & brain dump,F69,Meeting-mode diarization,planned,yes,Separate speakers in a conversation to build contextual meeting notes; consent-gated.
AEF,"Getting started, focus & time",Task structuring & breakdown,F02,Brain dump to action plan,shipped,,Turn a voice/text dump into actual next steps automatically.
AEF,"Getting started, focus & time",Task structuring & breakdown,F03,Tasks from your words,shipped,,"Pull out to-dos directly from what you said, no manual sorting."
AEF,"Getting started, focus & time",Task structuring & breakdown,F04,Right-sized task breakdown,shipped,,Choose how small tasks are chopped so each step feels doable.
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F06,Focus companion & body doubling,shipped,,A quiet presence with you while you work.
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F20,Single-task focus mode,planned,,Fill the screen with one thing only.
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F21,Graceful activity pause,planned,,"Yar holds your place when you step away, no fuss."
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F22,Gentle break prompts,planned,,A soft nudge to rest before you have been deep too long.
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F26,Floating task reminder,planned,,A small current-task reminder in a screen corner.
AEF,"Getting started, focus & time","Focus, body-doubling & breaks",F65,Focus & adherence guardian,planned,yes,"With your permission across chosen apps, nudges you back to the agreed plan when you drift, at an authority level you set from gentle reminder to blocking distractions."
AEF,"Getting started, focus & time",Day planning & flexible plans,F07,Flexible plan with a backup track,shipped,,"A dual-track plan: what you want, plus a lighter version."
AEF,"Getting started, focus & time",Day planning & flexible plans,F24,AI morning plan,planned,,A suggested day plan around what you have on and how you feel.
AEF,"Getting started, focus & time",Day planning & flexible plans,F64,Personal compass (gentle goals),planned,,"Non-pressuring direction: gentle goals you steer by, never a performance bar."
AEF,"Getting started, focus & time",Unified app & open connections,F28,Open data connections (MCP),planned,yes,Connect Yar to your other tools so info flows between them.
AEF,"Getting started, focus & time",Unified app & open connections,F41,All-in-one ND support app,planned,,"Tasks, time, notes, mood, AI in one place, no app-switching."
ERM,"Mood, energy & emotional support",Mood & energy sensing,F05,Your energy & mood map,shipped,,A simple picture of how energy and mood are moving.
ERM,"Mood, energy & emotional support",Mood & energy sensing,F08,Mood tag on tasks,shipped,,Add a quick mood note to any task.
ERM,"Mood, energy & emotional support",Mood & energy sensing,F40,Voice wellbeing signals (research),planned,yes,"Opt-in, research-stage voice-pattern signals, full consent."
ERM,"Mood, energy & emotional support",Mood & energy sensing,F53,Mood-anchored morning check-in,shipped,,A brief low-pressure check-in that sets the day's tone.
ERM,"Mood, energy & emotional support",Mood & energy sensing,F54,Voice mood awareness,placeholder,,Opt-in mood signals in your voice; off by default.
ERM,"Mood, energy & emotional support",Adaptive companion & trust,F11,Companion style & voice,shipped,,Choose the voice and presence you want from Yar.
ERM,"Mood, energy & emotional support",Adaptive companion & trust,F29,Companion that learns your style,planned,,Yar adjusts how it talks to match what helps you.
ERM,"Mood, energy & emotional support",Adaptive companion & trust,F45,Mood-matched companion,planned,,Yar shifts tone to match how you feel right now.
ERM,"Mood, energy & emotional support",Adaptive companion & trust,F57,Adaptive companion that builds trust,groundwork,,Yar reads between the lines more as trust grows.
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F27,Rest day support,shipped,yes,Holds space for a pause without treating it as failure.
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F35,Energy check before saying yes,planned,,Pause to check capacity before committing to something new.
ERM,"Mood, energy & emotional support",Compassionate pacing (anti-burnout),F38,No-penalty plan change,planned,,Change your plan anytime without guilt or a performance hit.
