element_id,rdoc_label,mapping_quality_tier,mapping_quality_score,hpo_curie,hpo_label,snomed_conceptid,snomed_label,nbo_curie,nbo_label,entity_curie,entity_label,entity_source,quality_curie,quality_label,direction_type,confidence,flag_poor_map,notes
158130,Activity Level,High,33,HP:0000752,Hyperactivity,405026005,Hyperactivity level,NBO:0000447,locomotor activation behavior,PATO:0002265,behavioural activity,MF,PATO:0002265,behavioural activity,neutral_measure,high,no,Activity level neutral measure of overall behavioral activity
150780,Agitation,High,33,HP:0000713,Agitation,24199005,Feeling agitated,NBO:0000129,agitation behavior,NBO:0000013,psychomotor activity,NBO,PATO:0000470,increased,2,high,no,Bearer=psychomotor activity; sign=increased (excess). | Psychomotor agitation; excess/dysregulated motor-affective arousal; SNOMED 47295007 psychomotor agitation also applies
150671,Anhedonia/decreased appetitive behavior,High,33,HP:0012154,Anhedonia,28669007,Anhedonia,NBO:0000547,anhedonia,NBO:0000233,appetitive motivation,NBO,PATO:0001997,decreased,1,high,no,Bearer=appetitive/consummatory motivation; sign=decreased. | Reduced reward/appetitive response. Strong matches all three ontologies.
158127,Apathy,High,33,HP:0000741,Apathy,20602000,Indifference,NBO:0000602,apathy,NBO:0000233,goal-directed motivation,NBO,PATO:0001997,decreased,1,high,no,Bearer=goal-directed motivation; sign=decreased. Was signed 'apathy'. | Apathy; NBO and HPO exact match; decreased motivated activity
149950,Avoidance,High,33,HP:0032942,Avoidance of stimuli associated with traumatic event,284489004,Avoidance behaviour,NBO:0000635,avoidance behavior,NBO:0000635,avoidance behavior,NBO,PATO:0000470,increased amount,2,high,no,Directional behavior (excess avoidance). Good matches in all three ontologies.
150778,Cognition,High,33,HP:0100543,Cognitive impairment,386806002,Impaired cognition,GO:0050890,cognition,GO:0050890,cognition,OBA,PATO:0000049,intensity,neutral_measure,high,no,Broad cognition construct; entity=cognition process (GO via OBA); neutral measure; HPO/SNOMED reflect impaired form
150681,Crying,High,33,HP:0030215,Inappropriate crying,28263002,Crying,NBO:0000618,crying behavior,NBO:0000618,crying behavior,NBO,PATO:0000044,frequency,neutral_measure,high,no,Crying as an observed/measured behavior. Strong matches all three; treated as neutral measure (frequency) unless contextually excessive.
150759,Crying/laughing,High,33,HP:0030215,Inappropriate crying,28263002,Crying,NBO:0000618,crying behavior,NBO:0000618,crying behavior,NBO,PATO:0000044,frequency,neutral_measure,high,no,Crying/laughing affective vocalization; entity=crying behavior (also NBO:0000617 laughing); neutral frequency measure
150766,Delusions of control,High,33,HP:0000746,Delusion,2073000,Delusion,NBO:0000603,delusion,trm_5154b2f947fe9,sense of agency,CognitiveAtlas,PATO:0000460,aberrant / distorted,4,high,no,Bearer=sense of agency; distortion. Was signed 'delusion'. | Passivity/control delusion; distortion of belief; SNOMED/NBO at delusion level
158118,Developmental Coordinate Disorder,High,33,HP:0011443,Abnormality of coordination,27544004,Developmental coordination disorder,NBO:0000339,motor coordination,NBO:0000339,motor coordination,NBO,PATO:0001624,decreased functionality,1,high,no,Developmental Coordination Disorder; SNOMED exact match; motor coordination deficit
158218,Disinhibition of early motor reflexes,High,33,HP:0002476,Primitive reflex,246570002,Primitive reflex,NBO:0000390,primitive reflex,NBO:0000390,primitive reflex,NBO,PATO:0000462,absent,5,high,no,Release/disinhibition of primitive reflexes; HPO/SNOMED/NBO all match; release phenomenon
150746,Eye gaze aversion/contact,High,33,HP:0000817,Reduced eye contact,412786000,Poor eye contact,NBO:0000616,eye contact,NBO:0000616,eye contact,NBO,PATO:0000049,intensity,neutral_measure,high,no,Neutral measure of eye-contact amount/duration; HPO/SNOMED reflect reduced form
150765,Hallucinations,High,33,HP:0000738,Hallucinations,7011001,Hallucinations,NBO:0000608,hallucination,GO:0007600,sensory perception,GO,PATO:0000460,released (percept without stimulus),5,high,no,Bearer=sensory perception; RELEASE (type 5) per the dimension-direction doc. Was wrongly 'hallucination' as entity AND wrong direction (was 4). | release/de-novo (percept without stimulus) modeled as PATO abnormal | Perceptual distortion (perception without stimulus); distortion direction
150737,Impulsive behaviors,High,33,HP:0100710,Impulsivity,286756000,Impulsive character,NBO:0000119,impulsive behavior,NBO:0000119,impulsive behavior,NBO,PATO:0001303,dysregulation,6,high,no,Impulsivity = failure of response inhibition; dysregulation of behavioral control
150722,Learning,High,33,HP:0001328,Specific learning disability,69998004,Learning,NBO:0000022,learning behavior,NBO:0000022,learning behavior,NBO,PATO:0000049,intensity,neutral_measure,high,no,Neutral measure of learning ability/rate
150694,physical and relational aggression,High,33,HP:0000718,Aggressive behavior,61372001,Aggressive behaviour,NBO:0000015,aggressive behavior,NBO:0000015,aggressive behavior,NBO,PATO:0000470,increased amount,2,high,no,Aggression (physical + relational). Strong matches all three ontologies.
150723,Recall,High,33,HP:0033692,Declarative memory loss,363889007,Memory recall,NBO:0000307,memory retrieval behavior,NBO:0000307,memory retrieval behavior,NBO,PATO:0000905,quality,neutral_measure,high,no,Recall = memory retrieval; neutral measure (accuracy/amount recalled)
150748,Reciprocal eye contact,High,33,HP:0000817,Reduced eye contact,400968009,Maintains good eye contact,NBO:0000616,eye contact,NBO:0000616,eye contact,NBO,PATO:0000049,intensity,neutral_measure,high,no,Reciprocal/mutual gaze; neutral measure
150726,Recognition,High,33,HP:0030391,Spoken word recognition deficit,312020002,Recognition,NBO:0000550,recognition memory,NBO:0000550,recognition memory,NBO,PATO:0000905,quality,neutral_measure,high,no,Neutral measure of recognition accuracy; HPO match is word-specific
151458,Sadness,High,33,HP:5200273,Pathological sadness,1217332007,Persistent sadness,NBO:0000003,emotional behavior,MFOEM:000087,sadness,MFOEM,PATO:0000049,intensity,neutral_measure,high,no,Sadness emotion; MFOEM emotion ontology has dedicated class
150775,Startle,High,33,HP:0002267,Exaggerated startle response,1495009,Moro reflex,NBO:0000391,startle reflex,NBO:0000391,startle reflex,NBO,PATO:0000049,intensity,neutral_measure,high,no,Acoustic startle reflex amplitude; neutral measure of intensity; HPO/SNOMED reflect specific forms
150718,Visual acuity,High,33,HP:0032037,Mildly reduced visual acuity,363983007,Visual acuity,NBO:0000314,visual behavior,ICF:b21000,visual acuity functions,ICF,PATO:0000049,intensity,neutral_measure,high,no,Visual acuity (neutral psychophysical measure). SNOMED exact; entity from ICF b21000 visual acuity functions. HPO captures reduced-acuity directions.
150760,Vocalizations,High,33,HP:4000074,Involuntary vocalization,278288005,Vocalisation,NBO:0000037,vocalization behavior,NBO:0000037,vocalization behavior,NBO,PATO:0000044,frequency,neutral_measure,high,no,Neutral measure of vocalization rate/amount
